"id"	"structure"	"dispo_id"	"season"	"season_year"	"dispo_type"	"site_code"	"lon"	"lat"	"local"	"campaign_start"	"campaign.end"	"campaign_duration"	"trap_night"	"trap_cat"
"400"	400	"LIFE"	"725-CGBC05-2015-2016-ETE"	"ETE"	"2015-2016"	"CAGE"	"GBR"	336340.044	7663521.99	"Terrier GBR"	"23/11/2015"	"14/01/2016"	52	22	1
"401"	401	"LIFE"	"725-CGBC05-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	336340.044	7663521.99	"Terrier GBR"	"22/09/2015"	"28/09/2015"	6	6	0
"402"	402	"LIFE"	"725-CGBC05-2018-2019-HIVER"	"HIVER"	"2018-2019"	"CAGE"	"GBR"	336340.044	7663521.99	"Terrier GBR"	"20/06/2018"	"05/09/2018"	77	29	0
"403"	403	"LIFE"	"728-CGBC06-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	336506.024	7663649.98	"Dyke Colonie GBR"	"29/05/2017"	"28/08/2017"	91	65	0
"404"	404	"LIFE"	"728-CGBC06-2015-2016-ETE"	"ETE"	"2015-2016"	"CAGE"	"GBR"	336506.024	7663649.98	"Dyke Colonie GBR"	"23/11/2015"	"18/03/2016"	116	75	1
"405"	405	"LIFE"	"728-CGBC06-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	336506.024	7663649.98	"Dyke Colonie GBR"	"22/09/2015"	"28/09/2015"	6	6	0
"406"	406	"LIFE"	"728-CGBC06-2018-2019-HIVER"	"HIVER"	"2018-2019"	"CAGE"	"GBR"	336506.024	7663649.98	"Dyke Colonie GBR"	"09/05/2018"	"22/08/2018"	105	55	1
"479"	479	"LIFE"	"885-CGBC07-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	336450.42	7663588.81	"Cabane Colonie GBR"	"29/05/2017"	"28/08/2017"	91	57	0
"480"	480	"LIFE"	"885-CGBC07-2015-2016-ETE"	"ETE"	"2015-2016"	"CAGE"	"GBR"	336450.42	7663588.81	"Cabane Colonie GBR"	"23/11/2015"	"25/11/2015"	2	2	0
"481"	481	"LIFE"	"885-CGBC07-2018-2019-HIVER"	"HIVER"	"2018-2019"	"CAGE"	"GBR"	336450.42	7663588.81	"Cabane Colonie GBR"	"08/05/2018"	"05/09/2018"	120	41.5	0
"498"	498	"PNRun OUEST"	"930-CCMR01-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330537.861	7670690.27	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	9.5	0
"499"	499	"PNRun OUEST"	"930-CCMR01-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330537.861	7670690.27	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	14	1
"500"	500	"PNRun OUEST"	"931-CCMR02-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330609.962	7670235.62	"Piste forestiere Maido"	"11/07/2016"	"24/10/2016"	105	15	2
"501"	501	"PNRun OUEST"	"932-CCMR03-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	331136.231	7669983.36	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	11	0
